categoria,model,fuente,miembro,resultado,detalle
ya_descargado,ACCESS-CM2,esgf_principal,r1i1p1f1,completo,"9 experimentos x archivo procesados en el pipeline (data/processed/masked)"
ya_descargado,ACCESS-ESM1-5,esgf_principal,r1i1p1f1,completo,"9 experimentos x archivo procesados en el pipeline (data/processed/masked)"
ya_descargado,AWI-CM-1-1-MR,esgf_principal,r1i1p1f1,completo,"9 experimentos x archivo procesados en el pipeline (data/processed/masked); malla no estructurada (FESOM), regrillada con gencon"
probado,BCC-CSM2-MR,esgf_principal,r1i1p1f1,descargable,"Encontrado en nodo principal (llnl/ornl bridge); descarga parcial (1MB, rango de bytes) verificada como NetCDF valido (firma CDF classic)"
probado,CMCC-CM2-SR5,esgf_principal,r1i1p1f1,descargable,"Encontrado en nodo principal; descarga parcial (1MB) verificada como NetCDF valido (firma HDF5) via mirror Globus"
probado,FGOALS-f3-L,esgf_principal,r1i1p1f1,descargable,"Encontrado en nodo principal; el primer mirror (esg.iap.ac.cn, China) dio timeout de conexion; el mirror Globus funciono y se verifico NetCDF valido (firma CDF classic) -- confirma que la logica de reintento por mirror del pipeline es necesaria"
probado,AWI-ESM-1-1-LR,ninguna,,no_encontrado,"Sin variant_label comun a los 3 experimentos ni en nodo principal ni en los 5 nodos alternativos (CEDA/DKRZ/IPSL/NSC/NCI); Copernicus CDS no probado (ver nota)"
probado,BCC-ESM1,ninguna,,no_encontrado,"Igual que arriba. Nodo DKRZ devolvio error 500 al consultar"
probado,CESM2-FV2,ninguna,,no_encontrado,"Sin variant_label comun a los 3 experimentos en ningun nodo ESGF consultado"
probado,CESM2-WACCM-FV2,ninguna,,no_encontrado,"Sin variant_label comun a los 3 experimentos en ningun nodo ESGF consultado"
probado,CMCC-CM2-HR4,ninguna,,no_encontrado,"Sin variant_label comun a los 3 experimentos en ningun nodo ESGF consultado"
probado,E3SM-1-0,ninguna,,no_encontrado,"Sin variant_label comun a los 3 experimentos en ningun nodo ESGF consultado"
probado,E3SM-1-1,ninguna,,no_encontrado,"Sin variant_label comun a los 3 experimentos en ningun nodo ESGF consultado"
probado,E3SM-1-1-ECA,ninguna,,no_encontrado,"Sin variant_label comun a los 3 experimentos en ningun nodo ESGF consultado"
probado,EC-Earth3-AerChem,ninguna,,no_encontrado,"Sin variant_label comun a los 3 experimentos en ningun nodo ESGF consultado"
probado,GISS-E2-2-H,ninguna,,no_encontrado,"Sin variant_label comun a los 3 experimentos en ningun nodo ESGF consultado"
probado,HadGEM3-GC31-MM,ninguna,,no_encontrado,"Sin variant_label comun a los 3 experimentos en ningun nodo ESGF consultado"
probado,MPI-ESM-1-2-HAM,ninguna,,no_encontrado,"Sin variant_label comun a los 3 experimentos en ningun nodo ESGF consultado"
probado,NorCPM1,ninguna,,no_encontrado,"Sin variant_label comun a los 3 experimentos en ningun nodo ESGF consultado"
probado,SAM0-UNICON,ninguna,,no_encontrado,"Sin variant_label comun a los 3 experimentos en ningun nodo ESGF consultado"
bloqueado,"(14 modelos no_encontrado arriba)",copernicus_cds,,no_probado,"cdsapi con credenciales reales dio HTTP 403 'required licences not accepted' para el dataset projections-cmip6 -- hay que aceptar la licencia manualmente en https://cds.climate.copernicus.eu/datasets/projections-cmip6?tab=download#manage-licences antes de poder probar esta via"
